Date,Temperature,Humidity,WindSpeed,PM2.5,PM10,NO2,SO2,AQI,City
2015-01-01,22.993428306022466,48.94166509034412,1.5793780254687715,137.08959644485017,178.4174232598625,61.442569993418395,20.81014884033559,263.367295841638,Kolkata
2015-01-02,21.72435914592299,46.86354984024087,2.0782252717919034,137.95462585287962,180.83330354510042,65.34554176981248,24.19513404145711,266.86472309712076,Kolkata
2015-01-03,23.298927806563825,48.56868245629572,1.1966407307250093,113.87255646930726,205.80132279534757,48.40316602991025,19.244477074348215,228.7574205509454,Kolkata
2015-01-04,25.054047871088052,57.11262712142019,0.9980630829569354,131.6673830945986,194.95106488741723,58.34230505392116,15.62253056487781,269.1659167977601,Kolkata
2015-01-05,21.545891969441058,37.596453514543924,1.630418328109349,129.4351800175562,171.70998575578926,65.68000806092543,22.592331696943557,268.78418877385093,Kolkata
2015-01-06,21.55390666050646,56.440278366452986,0.6090069446450105,134.63892998555116,215.87230798663379,36.45589957414811,21.47162102472316,261.8889578395814,Kolkata
2015-01-07,25.190356993878595,,1.3640298022819928,131.4815260966063,155.65845606525048,70.57718661740122,20.29732996960195,237.00699439475497,Kolkata
2015-01-08,23.578317657155342,44.073512257837734,1.633381381870084,,205.1787994120306,62.68460767762997,21.376052892268756,271.0222730459128,Kolkata
2015-01-09,21.117778902474996,44.76525722061606,1.379205970173643,124.85526145697114,164.0339364126789,,18.840494277163394,242.7609893923,Kolkata
2015-01-10,23.156885946911423,58.561379785389754,0.746215993342,130.28108492941442,226.8785019660831,56.45902623397691,20.002272865446535,280.8404084685478,Kolkata
2015-01-11,21.161722919367385,45.49386136276711,2.319228554350083,110.84458563420921,158.07482523697726,45.923025797502795,19.53110065092668,205.98967907837195,Kolkata
2015-01-12,21.17564053380811,44.50099754939177,1.578544087211744,124.30889048871776,211.795512559721,63.915503514040196,18.136285194663394,251.01398810215596,Kolkata
2015-01-13,22.611310123942538,56.00503666384982,2.247422454083488,149.80095671589572,186.8811476903196,58.91465879396633,23.461363698639616,265.1802128676676,Kolkata
